"npc_name","sex","dialog_type","quest_id","text"
"npc_name","sex","dialog_type","quest_id","text"
"Bo","2","gossip","","To the safe hall, your majesty."
"Bo","2","gossip","","Dragon filth! Guards! Guards! Seize this monster!"
"Bo","2","gossip","","Reginald... I... I am sorry."
"Bo","2","gossip","","Who dares interfere with the Sons of Arugal?"
"Bo","2","gossip","","You, too, shall serve!"
"Bo","2","gossip","","Another falls!"
"Bo","2","gossip","","Release your rage!"
"Scarlet Cavalier","0","gossip","","Something is wrong with the Highlord. Do something!"
"Scarlet Cavalier","0","gossip","","Hey, what is going on over there? Sir, are you alright?"
"Scarlet Cavalier","0","gossip","","What the..."
"Scarlet Cavalier","0","gossip","","Sir?"
"Tirion Fordring","0","gossip","","What have you done,  Isillien? You once fought with honor, for the good of our people... and now... you have murdered my boy..."
"Tirion Fordring","0","gossip","","May your soul burn in anguish, Isillien! Light give me strength to battle this fiend."
"Tirion Fordring","0","gossip","","Face me, coward. Face the faith and strength that you once embodied."
"Tirion Fordring","0","gossip","","A thousand more like him exist. Ten thousand. Should one fall, another will rise to take the seat of power."
"Tirion Fordring","0","gossip","","Look what they did to my boy."
"Tirion Fordring","0","gossip","","Too long have I sat idle, gripped in this haze... this malaise, lamenting what could have been... what should have been."
"Tirion Fordring","0","gossip","","Your death will not have been in vain, Taelan. A new Order is born on this day... an Order which will dedicate itself to extinguishing the evil that plagues this world. An evil that cannot hide behind politics and pleasantries."
"Tirion Fordring","0","gossip","","This I promise... This I vow..."
"Deathstalker Faerleia","1","gossip","","Be ready, $n. I hear the council returning. Prepare to ambush!"
"Deathstalker Faerleia","1","gossip","","Well done. A blow to Arugal no doubt!"
"Kinelory","1","gossip","","Well then, let's get this started. The longer we're here, the more damage the undead could be doing back in Hilsbrad."
"Kinelory","1","gossip","","All right, this is where we really have to be on our paws. Be ready!"
"Kinelory","1","gossip","","Attack me if you will, but you won't stop me from getting back to Quae."
"Kinelory","1","gossip","","Watch my rear! I'll see what I can find in all this junk..."
"Kinelory","1","gossip","","I bet Quae'll think this is important. She's pretty knowledgeable about these things--no expert, but knowledgeable."
"Kinelory","1","gossip","","Okay, let's get out of here quick quick! Try and keep up. I'm going to make a break for it."
"Kinelory","1","gossip","","We made it! Quae, we made it!"
"Archaedas","2","gossip","","Who dares awaken Archaedas? Who dares the wrath of the Makers?"
"Archaedas","2","gossip","","Awake ye servants, defend the discs!"
"Archaedas","2","gossip","","To my side, brothers! For the Makers!"
"Archaedas","2","gossip","","Reckless mortal!"
"Grub","0","gossip","","We come from below! You can never stop us!"
"Gil","2","gossip","","Stay close, $n. I'll need all the help I can get to break out of here. Let's go!"
"Gil","2","gossip","","At last! Free from Northwatch Hold! I need a moment to catch my breath...."
"Gil","2","gossip","","Now I feel better. Let's get back to Ratchet. Come on, $n."
"Gil","2","gossip","","Looks like the Southsea Freebooters are heavily entrenched on the coast. This could get rough."
"Gil","2","gossip","","Help! $C attacking!"
"Gil","2","gossip","","$C heading this way fast! Time for revenge!"
"Gil","2","gossip","","$C coming right at us!"
"Gil","2","gossip","","Get this $C off of me!"
"Gil","2","gossip","","Almost back to Ratchet! Let's keep up the pace..."
"Gil","2","gossip","","Ah, the sweet salt air of Ratchet."
"Gil","2","gossip","","Captain Brightsun, $n here has freed me! $n, I am certain the Captain will reward your bravery."
